Binder Name,Binder Type,Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency
non basic lands,binder,Sunscorched Desert,AKH,Amonkhet,249,normal,common,1,5436,405434c7-9206-45b7-af0f-d59aae294d39,0.3,false,false,near_mint,en,USD
non basic lands,binder,Izzet Boilerworks,M3C,Modern Horizons 3 Commander,350,normal,uncommon,1,94795,af8535f9-463e-4963-94db-db0e22605275,0.29,false,false,near_mint,en,USD
non basic lands,binder,Izzet Guildgate,FDN,Foundations,691,normal,common,1,101219,db9e6fc9-813d-4a71-8a68-8e0f83fa945d,0.15,false,false,near_mint,en,USD
non basic lands,binder,Highland Lake,C19,Commander 2019,251,normal,uncommon,2,45683,46bb20af-a326-4a42-94d3-cb1990300e0f,0.19,false,false,near_mint,en,USD
non basic lands,binder,Swiftwater Cliffs,BLB,Bloomburrow,397,normal,common,2,96078,89e43510-c444-4b2e-b2a0-528dcc09c899,0.2,false,false,near_mint,en,USD
non basic lands,binder,Jungle Hollow,NEO,Kamigawa: Neon Dynasty,269,normal,common,1,66921,deadca61-0be9-4eeb-ba12-bc73a49bae74,0.17,false,false,near_mint,en,USD
non basic lands,binder,Golgari Guildgate,GRN,Guilds of Ravnica,249,normal,common,1,234,f0a021e9-b11a-4028-86c9-01b62eae1877,0.15,false,false,near_mint,en,USD
non basic lands,binder,Foul Orchard,KHC,Kaldheim Commander,110,normal,uncommon,2,57195,1e1bad7b-e102-4dff-b79a-fd755c2b6d49,0.17,false,false,near_mint,en,USD
non basic lands,binder,Forsaken Sanctuary,C18,Commander 2018,247,normal,uncommon,1,596,f3e0b983-62e7-43fb-b5d5-402ea60a64d7,0.18,false,false,near_mint,en,USD
non basic lands,binder,Orzhov Basilica,DRC,Aetherdrift Commander,164,normal,uncommon,2,103274,cc8f8ede-9620-4f7f-8326-a75031ef6ec1,0.15,false,false,near_mint,en,USD
non basic lands,binder,Scoured Barrens,M20,Core Set 2020,251,normal,common,1,45209,3b9edd33-a64e-4526-a89f-edd31ac4b175,0.15,false,false,near_mint,en,USD
