Seller,Package #,Item Type,Card Name,Set,Set Code,Collector #,Condition,Language,Finish,Rarity,Quantity,Unit Price,Total Price
Spellfinder,1560638,Single,Hardened Scales,Khans of Tarkir,KTK,133,Moderately Played,English,Non-Foil,rare,1,$2.48,$2.48
NUTMEG GAMES,1560644,Single,Island,Unstable,UST,213,Moderately Played,English,Non-Foil,common,4,$3.63,$14.52
Hometown Games,1560637,Single,Karplusan Forest,Aetherdrift Commander,DRC,163,Near Mint,English,Non-Foil,rare,1,$0.45,$0.45
Analog Games,1560639,Single,"Brawn, Amadeus Cho",Marvel Super Heroes Commander,MSC,567,Near Mint,English,Non-Foil,uncommon,1,$0.35,$0.35
Hyperview Gaming,1560636,Single,Hulk's Thunderclap,Marvel Super Heroes Commander,MSC,725,Near Mint,English,Non-Foil,uncommon,1,$0.75,$0.75
Hyperview Gaming,1560636,Single,Lightning Bolt,Marvel Super Heroes Commander,MSC,806,Near Mint,English,Non-Foil,uncommon,1,$0.75,$0.75
Hyperview Gaming,1560636,Single,"Hulk, Strongest There Is",Marvel Super Heroes Commander,MSC,724,Near Mint,English,Non-Foil,rare,1,$3.48,$3.48
The Wasteland Gaming,1560635,Single,Herald of Secret Streams,Ixalan,XLN,59,Near Mint,English,Non-Foil,rare,1,$5.25,$5.25
Spellfinder,1560638,Single,Ketria Triome,Ikoria: Lair of Behemoths,IKO,250,Near Mint,English,Non-Foil,rare,1,$19.15,$19.15
Hometown Games,1560637,Single,Arcane Signet,Marvel Super Heroes Commander,MSC,191,Near Mint,English,Non-Foil,uncommon,1,$0.72,$0.72
Spellfinder,1560638,Single,Stomping Ground,Edge of Eternities,EOE,258,Lightly Played,English,Foil,rare,1,$7.91,$7.91
Hometown Games,1560637,Single,Pongify,Tarkir: Dragonstorm Commander,TDC,160,Near Mint,English,Non-Foil,uncommon,1,$1.43,$1.43
Hyperview Gaming,1560636,Single,"She-Hulk, Jennifer Walters",Marvel Super Heroes Commander,MSC,554,Near Mint,English,Non-Foil,uncommon,1,$0.75,$0.75
Analog Games,1560639,Single,Command Tower,Wizards Play Network 2025,PW25,17,Lightly Played,English,Foil,rare,1,$13.76,$13.76
Hometown Games,1560637,Single,Gyre Sage,Final Fantasy Commander,FIC,306,Near Mint,English,Non-Foil,rare,1,$1.17,$1.17
Analog Games,1560639,Single,Karn's Bastion,War of the Spark,WAR,248,Near Mint,English,Non-Foil,rare,1,$3.30,$3.30
NUTMEG GAMES,1560644,Single,Forest,Unstable,UST,216,Moderately Played,English,Non-Foil,common,4,$3.35,$13.40
Crit and Clatter Games,1560642,Single,"Hulk, Brutal Brawler",Marvel Super Heroes Commander,MSC,833,Near Mint,English,Foil,mythic,1,$40.00,$40.00
NUTMEG GAMES,1560644,Single,Evolution Sage,War of the Spark,WAR,159,Lightly Played,English,Non-Foil,uncommon,1,$2.86,$2.86
NUTMEG GAMES,1560644,Single,Bloom Tender,Lorwyn Eclipsed,ECL,166,Lightly Played,English,Non-Foil,mythic,1,$13.33,$13.33
PattersonsPastimes,1560647,Single,World War Hulk,Marvel Super Heroes,MSH,304,Near Mint,English,Non-Foil,rare,1,$1.75,$1.75
DoublemintCards,1560645,Single,Hulkbuster Armor,Marvel Super Heroes Commander,MSC,438,Near Mint,English,Non-Foil,rare,1,$6.62,$6.62
Hometown Games,1560637,Single,"She-Hulk, Wallbreaker",Marvel Super Heroes Commander,MSC,60,Near Mint,English,Non-Foil,rare,1,$1.65,$1.65
Hometown Games,1560637,Single,Cinder Glade,Modern Horizons 3 Commander,M3C,329,Near Mint,English,Non-Foil,rare,1,$0.31,$0.31
TheBrokenLute,1560643,Single,Abrade,Tarkir: Dragonstorm Commander,TDC,203,Near Mint,English,Non-Foil,uncommon,1,$0.15,$0.15
Fox & Fable Games,1560641,Single,Hulking Raptor,Media and Collaboration Promos,PMEI,2026-9,Moderately Played,English,Foil,rare,1,$0.44,$0.44
Cape Fear Collectibles,1560646,Single,Plaza of Heroes,Marvel Super Heroes Commander,MSC,483,Near Mint,English,Non-Foil,rare,1,$8.93,$8.93
Spellfinder,1560638,Single,The Great Henge,Throne of Eldraine,ELD,161,Lightly Played,English,Non-Foil,mythic,1,$62.77,$62.77
Spellfinder,1560638,Single,Tyvar's Stand,Phyrexia: All Will Be One,ONE,190,Lightly Played,English,Non-Foil,uncommon,1,$0.96,$0.96
Hometown Games,1560637,Single,Sulfur Falls,Marvel Super Heroes Commander,MSC,269,Near Mint,English,Non-Foil,rare,1,$0.29,$0.29
NUTMEG GAMES,1560644,Single,Mountain,Unstable,UST,215,Moderately Played,English,Non-Foil,common,5,$2.36,$11.80
FoundryStreetDenizen,1560640,Single,Fling,Throne of Eldraine,ELD,126,Lightly Played,English,Non-Foil,common,1,$0.15,$0.15
Spellfinder,1560638,Single,The Ozolith,Secret Lair Drop,SLD,1741,Near Mint,English,Non-Foil,rare,1,$74.23,$74.23
NUTMEG GAMES,1560644,Single,Breeding Pool,Edge of Eternities,EOE,251,Lightly Played,English,Non-Foil,rare,1,$10.72,$10.72
NUTMEG GAMES,1560644,Single,Soul's Fire,Shards of Alara,ALA,115,Moderately Played,English,Foil,common,1,$1.98,$1.98
Hometown Games,1560637,Single,Cultivate,Doctor Who,WHO,230,Near Mint,English,Non-Foil,common,1,$0.48,$0.48
The Wasteland Gaming,1560635,Single,Ram Through,Ikoria: Lair of Behemoths,IKO,170,Near Mint,English,Non-Foil,common,1,$0.75,$0.75
Hometown Games,1560637,Single,Kalonian Hydra,Bloomburrow Commander,BLC,226,Near Mint,English,Non-Foil,mythic,1,$6.00,$6.00
FoundryStreetDenizen,1560640,Single,Bloom Hulk,War of the Spark,WAR,154,Lightly Played,English,Non-Foil,common,1,$0.17,$0.17
Hometown Games,1560637,Single,Exotic Orchard,Tarkir: Dragonstorm Commander,TDC,360,Near Mint,English,Non-Foil,rare,1,$0.24,$0.24
Hometown Games,1560637,Single,Spire Garden,Teenage Mutant Ninja Turtles Eternal,TMC,75,Near Mint,English,Non-Foil,rare,1,$6.36,$6.36
Hometown Games,1560637,Single,Three Visits,Marvel Super Heroes Commander,MSC,181,Near Mint,English,Non-Foil,uncommon,1,$3.91,$3.91
Spellfinder,1560638,Single,Guardian Project,Ravnica Allegiance,RNA,130,Lightly Played,English,Non-Foil,rare,1,$13.39,$13.39
TheBrokenLute,1560643,Single,"Toski, Bearer of Secrets",Kaldheim,KHM,197,Lightly Played,English,Non-Foil,rare,1,$5.39,$5.39
TheBrokenLute,1560643,Single,Hinterland Harbor,Marvel Super Heroes Commander,MSC,250,Near Mint,English,Non-Foil,rare,1,$0.30,$0.30
Spellfinder,1560638,Single,Beast Whisperer,Time Spiral Remastered,TSR,356,Moderately Played,English,Non-Foil,special,1,$8.08,$8.08
Analog Games,1560639,Single,Garruk's Uprising,Foundations,FDN,220,Near Mint,English,Non-Foil,uncommon,1,$0.52,$0.52
NUTMEG GAMES,1560644,Single,Origin of the Hulk,Marvel Super Heroes Commander,MSC,728,Lightly Played,English,Foil,uncommon,1,$0.60,$0.60
Hyperview Gaming,1560636,Single,Gamma Grotesque,Marvel Super Heroes Commander,MSC,562,Near Mint,English,Non-Foil,rare,1,$2.14,$2.14
The Wasteland Gaming,1560635,Single,Pyrewood Gearhulk,Aetherdrift,DFT,216,Near Mint,English,Non-Foil,mythic,1,$1.49,$1.49
Hometown Games,1560637,Single,Rootbound Crag,Teenage Mutant Ninja Turtles Eternal,TMC,72,Near Mint,English,Non-Foil,rare,1,$0.33,$0.33
NUTMEG GAMES,1560644,Single,Caltrops,Urza's Destiny,UDS,129,Lightly Played,English,Non-Foil,uncommon,1,$19.79,$19.79
The Wasteland Gaming,1560635,Single,Verdurous Gearhulk,Midnight Hunt Commander,MIC,145,Near Mint,English,Non-Foil,mythic,1,$0.49,$0.49
Hometown Games,1560637,Single,Frontier Bivouac,Tarkir: Dragonstorm,TDM,256,Near Mint,English,Non-Foil,uncommon,1,$0.27,$0.27
Spellfinder,1560638,Single,Cyclonic Rift,Secret Lair Drop,SLD,1869,Lightly Played,English,Non-Foil,rare,1,$32.61,$32.61
Hometown Games,1560637,Single,Rapid Hybridization,Tarkir: Dragonstorm Commander,TDC,162,Near Mint,English,Non-Foil,uncommon,1,$0.90,$0.90
Hometown Games,1560637,Single,"Rishkar, Peema Renegade",Starter Commander Decks,SCD,207,Near Mint,English,Non-Foil,rare,1,$0.19,$0.19
Hometown Games,1560637,Single,Professor Hulk,Marvel Super Heroes Commander,MSC,37,Near Mint,English,Non-Foil,rare,1,$3.51,$3.51
Hometown Games,1560637,Single,Incubation Druid,Final Fantasy Commander,FIC,309,Near Mint,English,Non-Foil,rare,1,$1.11,$1.11
Fox & Fable Games,1560641,Single,Steam Vents,Guilds of Ravnica,GRN,257,Near Mint,English,Non-Foil,rare,1,$12.98,$12.98
