Seller,Package #,Item Type,Card Name,Set,Set Code,Collector #,Condition,Language,Finish,Rarity,Quantity,Unit Price,Total Price,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12
FIVE6GAMING,820930,Single,Negate,Teenage Mutant Ninja Turtles,TMT,47,Near Mint,English,Non-Foil,common,1,$0.25,$0.25,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Wooded Foothills,Khans of Tarkir,KTK,249,Lightly Played,English,Non-Foil,rare,1,$16.35,$16.35,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Misty Rainforest,Modern Horizons 2,MH2,477,Lightly Played,English,Non-Foil,rare,1,$28.45,$28.45,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Karplusan Forest,Bloomburrow Commander,BLC,314,Lightly Played,English,Non-Foil,rare,1,$0.40,$0.40,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Herald's Horn,Tales of Middle-earth Commander,LTC,280,Lightly Played,English,Non-Foil,uncommon,1,$4.75,$4.75,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Arcane Signet,Foundations Commander,FDC,1,Lightly Played,English,Foil,uncommon,1,$0.50,$0.50,,,,,,,,,,,,
FIVE6GAMING,820930,Single,Temple Garden,Lorwyn Eclipsed,ECL,268,Lightly Played,English,Foil,rare,1,$8.60,$8.60,,,,,,,,,,,,
FIVE6GAMING,820930,Single,"Miirym, Sentinel Wyrm",Commander Legends: Battle for Baldur's Gate,CLB,284,Lightly Played,English,Non-Foil,rare,1,$7.35,$7.35,,,,,,,,,,,,
FIVE6GAMING,820930,Single,"Dromoka, the Eternal",Fate Reforged,FRF,151,Lightly Played,English,Non-Foil,rare,1,$0.35,$0.35,,,,,,,,,,,,
HoiPolloi,820928,Single,Living Death,The List,PLST,A25-96,Lightly Played,English,Non-Foil,rare,1,$2.00,$2.00,,,,,,,,,,,,
HoiPolloi,820928,Single,"Atarka, World Render",Fate Reforged Promos,PFRF,149★,Lightly Played,English,Foil,rare,1,$0.24,$0.24,,,,,,,,,,,,
HoiPolloi,820928,Single,Sylvan Caryatid,Theros,THS,180,Lightly Played,English,Non-Foil,rare,1,$0.48,$0.48,,,,,,,,,,,,
HoiPolloi,820928,Single,Leyline Tyrant,Tarkir: Dragonstorm Commander,TDC,221,Lightly Played,English,Non-Foil,mythic,1,$1.50,$1.50,,,,,,,,,,,,
HoiPolloi,820928,Single,Utvara Hellkite,Return to Ravnica,RTR,110,Lightly Played,English,Non-Foil,mythic,1,$11.49,$11.49,,,,,,,,,,,,
HoiPolloi,820928,Single,Anguished Unmaking,Double Masters 2022,2X2,170,Lightly Played,English,Non-Foil,rare,1,$1.75,$1.75,,,,,,,,,,,,
HoiPolloi,820928,Single,Llanowar Wastes,Magic Origins,ORI,248,Lightly Played,English,Non-Foil,rare,1,$0.25,$0.25,,,,,,,,,,,,
HoiPolloi,820928,Single,Sulfurous Springs,Dominaria United,DMU,381,Lightly Played,English,Non-Foil,rare,1,$1.30,$1.30,,,,,,,,,,,,
HoiPolloi,820928,Single,Bedevil,Breaking News,OTP,37,Lightly Played,English,Non-Foil,rare,1,$0.24,$0.24,,,,,,,,,,,,
HoiPolloi,820928,Single,Up the Beanstalk,Wilds of Eldraine,WOE,195,Lightly Played,English,Foil,uncommon,1,$5.43,$5.43,,,,,,,,,,,,
HoiPolloi,820928,Single,Dragonskull Summit,Dominaria United Commander,DMC,207,Lightly Played,English,Non-Foil,rare,1,$0.89,$0.89,,,,,,,,,,,,
HoiPolloi,820928,Single,Isolated Chapel,Tales of Middle-earth Commander,LTC,318,Lightly Played,English,Non-Foil,rare,1,$0.34,$0.34,,,,,,,,,,,,
HoiPolloi,820928,Single,Rhythm of the Wild,Ravnica Remastered,RVR,217,Lightly Played,English,Non-Foil,uncommon,1,$2.50,$2.50,,,,,,,,,,,,
HoiPolloi,820928,Single,"Lathliss, Dragon Queen",Foundations Jumpstart,J25,74,Lightly Played,English,Non-Foil,rare,1,$0.29,$0.29,,,,,,,,,,,,
Journeys End Games,820924,Single,Elemental Bond,Magic Origins,ORI,174,Moderately Played,English,Non-Foil,uncommon,1,$4.18,$4.18,,,,,,,,,,,,
Journeys End Games,820924,Single,"Silumgar, the Drifting Death",Fate Reforged,FRF,157,Lightly Played,English,Non-Foil,rare,1,$0.78,$0.78,,,,,,,,,,,,
Journeys End Games,820924,Single,Crumbling Necropolis,Duel Decks: Ajani vs. Nicol Bolas,DDH,74,Moderately Played,English,Non-Foil,uncommon,1,$0.38,$0.38,,,,,,,,,,,,
Journeys End Games,820924,Single,Bladewing the Risen,Commander 2017,C17,163,Near Mint,English,Non-Foil,rare,1,$1.10,$1.10,,,,,,,,,,,,
Journeys End Games,820924,Single,Stomping Ground,Ravnica Remastered,RVR,289,Near Mint,English,Foil,rare,1,$10.48,$10.48,,,,,,,,,,,,
Journeys End Games,820924,Single,Scalelord Reckoner,Commander 2017,C17,6,Lightly Played,English,Non-Foil,rare,1,$6.55,$6.55,,,,,,,,,,,,
Journeys End Games,820924,Single,Overgrown Tomb,Return to Ravnica,RTR,243,Moderately Played,English,Non-Foil,rare,1,$10.13,$10.13,,,,,,,,,,,,
